# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
9.957651044607566115e-01,9.915413533834586124e-01,9.955670483930549874e-01
9.970255800118976719e-01,9.955496217178460006e-01,9.912723932016536121e-01
9.970465173517105706e-01,9.973811442385173143e-01,9.950372208436724097e-01
9.954914337240757805e-01,9.969574036511156256e-01,9.952114924181962863e-01
9.986449864498645468e-01,9.987598181066555947e-01,9.964973730297723709e-01
9.981604966659002320e-01,9.988819320214669117e-01,1.000959692898272468e+00
9.987769080234834007e-01,9.989873417721518711e-01,9.982648930017351541e-01
9.994569644311702694e-01,9.982808022922635693e-01,1.000000000000000000e+00
9.969924812030075412e-01,1.000317561130517729e+00,9.955390334572490341e-01
1.000000000000000000e+00,1.000782166601486223e+00,9.972924187725631384e-01
1.001577909270217059e+00,9.954504094631483335e-01,9.989154013015184574e-01
9.963065558633426022e-01,1.001036269430051862e+00,1.004872107186357999e+00
9.982886480319452804e-01,1.000636132315521731e+00,1.004392386530014614e+00
9.986908546848700663e-01,9.981179422835633197e-01,1.003500000000000059e+00
9.995203836930455221e-01,1.000000000000000000e+00,1.009067357512953400e+00
