# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
1.000176834659593172e+00,9.988125530110263384e-01,1.000686341798215473e+00
9.996745850959973811e-01,1.000000000000000000e+00,9.989447766443897425e-01
9.994793022650351189e-01,1.000134535180949857e+00,9.993692841374960389e-01
1.000753106564578943e+00,1.000518201839616594e+00,9.996940024479804565e-01
1.000123533045089497e+00,1.000137362637362637e+00,1.000670016750418778e+00
1.000000000000000000e+00,1.000444312796208601e+00,1.001100917431192672e+00
9.995497523638000592e-01,1.001432921368439866e+00,1.000000000000000000e+00
1.000187055742611353e+00,1.001130198915008984e+00,1.002810567734682357e+00
1.000231910946196567e+00,1.000828500414250311e+00,1.002691790040376896e+00
1.000000000000000000e+00,1.001790830945558763e+00,1.000000000000000000e+00
1.000789889415481859e+00,9.990196078431372584e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000647249190938615e+00,1.002994011976047872e+00
1.000719942404607599e+00,1.001769911504424737e+00,1.005617977528089790e+00
1.000000000000000000e+00,9.985451018428710412e-01,1.000953288846520461e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
