# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
9.968017057569296124e-01,9.919504643962848700e-01,9.987730061349693322e-01
1.000000000000000000e+00,9.918518518518518734e-01,9.985380116959063912e-01
1.000812347684809200e+00,9.971550497866287222e-01,9.948119325551232350e-01
1.000000000000000000e+00,9.980468750000000000e-01,9.946808510638297518e-01
1.000000000000000000e+00,9.965846994535518810e-01,9.986263736263736313e-01
9.984289080911232794e-01,9.976377952755905998e-01,9.938744257274119143e-01
9.983164983164982687e-01,9.983065198983911426e-01,1.003663003663003650e+00
1.000000000000000000e+00,9.980806142034548412e-01,9.933184855233853083e-01
1.003246753246753276e+00,1.001177856301531222e+00,9.973958333333333703e-01
9.973992197659298231e-01,9.945355191256830540e-01,1.012383900928792491e+00
1.000000000000000000e+00,9.968304278922345274e-01,9.962546816479400658e-01
9.981916817359854921e-01,9.981378026070762965e-01,1.000000000000000000e+00
9.979296066252587583e-01,9.978021978021978100e-01,1.009900990099009910e+00
1.001389854065323215e+00,9.992492492492492939e-01,9.982456140350877138e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.004347826086956497e+00
