# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
1.007603890362511079e+00,1.004749787955894869e+00,1.010981468771448233e+00
9.913765050439310444e-01,1.002577734815530919e+00,9.831164263102356582e-01
9.934912783129393743e-01,9.924660298668102065e-01,1.015137180700094621e+00
1.003388979540605019e+00,1.005700220235781872e+00,1.006119951040391758e+00
9.980234712785670537e-01,1.004807692307692291e+00,9.882747068676717150e-01
1.001194109061960935e+00,1.000000000000000000e+00,9.955963302752293131e-01
9.867927360048026619e-01,1.000716460684220044e+00,9.972577696526507829e-01
9.936401047512158913e-01,1.013110307414104794e+00,9.943788645306351759e-01
9.988404452690167190e-01,9.922673294669980271e-01,9.878869448183041913e-01
1.020313942751615910e+00,9.781518624641833970e-01,9.762741652021089678e-01
9.924960505529225596e-01,9.936274509803921795e-01,1.010416666666666741e+00
9.741510390268626196e-01,1.016828478964401317e+00,9.895209580838323360e-01
1.017998560115190854e+00,9.982300884955752629e-01,1.003745318352059934e+00
1.001205787781350498e+00,1.021823472356935048e+00,1.010486177311725520e+00
8.762886597938144284e-01,1.033613445378151363e+00,1.161616161616161547e+00
