# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
9.936034115138592249e-01,9.839009287925696290e-01,9.877300613496932113e-01
9.707031250000000000e-01,9.762962962962963287e-01,1.038011695906432719e+00
1.002437043054427379e+00,1.011379800853485111e+00,1.007782101167315147e+00
9.864150943396226001e-01,9.759114583333333703e-01,9.507978723404255650e-01
1.007818608287724738e+00,9.883879781420764621e-01,1.028846153846153744e+00
9.905734485467400097e-01,9.771653543307086132e-01,9.601837672281776648e-01
9.991582491582491343e-01,9.822184589331075522e-01,9.816849816849816390e-01
1.009652509652509744e+00,9.654510556621881401e-01,1.002227171492204860e+00
9.913419913419913021e-01,9.799764428739693445e-01,1.020833333333333259e+00
9.544863459037711273e-01,1.012295081967213184e+00,9.752321981424149078e-01
9.886363636363636465e-01,1.049128367670364437e+00,1.037453183520599342e+00
1.010849909584086825e+00,9.981378026070762965e-01,1.055319148936170182e+00
9.855072463768116409e-01,1.013186813186813140e+00,9.801980198019801804e-01
9.847116052814454124e-01,9.744744744744744391e-01,1.026315789473684292e+00
9.963503649635035986e-01,9.963167587476979836e-01,1.017391304347825987e+00
