# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
9.986206896551723666e-01,1.002562459961563013e+00,1.005312084993359889e+00
1.003851091142490271e+00,1.001817080557237949e+00,1.004385964912280604e+00
1.001038961038960950e+00,1.001014713343480578e+00,1.002525252525252597e+00
1.001924927815206923e+00,1.001009081735620532e+00,1.001228501228501155e+00
1.004800768122899646e+00,9.994778067885117245e-01,9.975247524752475226e-01
9.952953476215368189e-01,1.009720534629404698e+00,9.984939759036144391e-01
1.003531489111241903e+00,1.011371712864250094e+00,9.815126050420167614e-01
1.002129169623846794e+00,9.912126537785588276e-01,9.978165938864629325e-01
1.002493765586034868e+00,1.005302226935312904e+00,9.824561403508771384e-01
9.988358556461001125e-01,1.004115226337448652e+00,9.911242603550295405e-01
9.957865168539326017e-01,1.000000000000000000e+00,1.004405286343612369e+00
9.921414538310412423e-01,1.007556675062972307e+00,1.029239766081871288e+00
1.005221932114882533e+00,9.964157706093189626e-01,9.852941176470588758e-01
1.008116883116883189e+00,1.011834319526627279e+00,9.927007299270073082e-01
1.000000000000000000e+00,8.823529411764705621e-01,9.375000000000000000e-01
