# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,0.2,0.4,0.6,
1.011671087533156488e+00,1.001017811704834504e+00,9.962251201098146769e-01
9.985356329319883262e-01,9.971000483325277441e-01,9.810059795990151432e-01
9.975266857589168978e-01,9.900443966097134396e-01,9.839167455061494927e-01
1.003640015062131186e+00,9.985749449410545875e-01,1.012851897184822603e+00
1.001111797405806136e+00,9.953296703296703463e-01,9.822445561139028225e-01
9.968157091681040249e-01,9.960011848341232543e-01,1.006238532110091732e+00
9.917454600030016776e-01,9.876410531972058537e-01,1.021480804387568497e+00
9.986906098017208633e-01,1.012432188065099492e+00,9.921304103428892907e-01
9.967532467532467244e-01,9.859154929577464976e-01,1.002018842530282727e+00
1.013234841489689231e+00,9.785100286532951719e-01,9.850615114235501402e-01
1.007109004739336511e+00,1.000980392156862742e+00,1.018518518518518601e+00
9.771920932589964748e-01,1.023948220064724968e+00,9.505988023952095523e-01
1.004319654427645814e+00,9.938053097345133091e-01,9.456928838951310645e-01
9.786977491961414977e-01,1.015518913676042745e+00,1.000000000000000000e+00
9.896907216494845727e-01,9.075630252100840289e-01,1.121212121212121104e+00
