# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
2.790277777777777857e+01,7.682323232323231821e+01
5.355769230769230838e+00,8.036856745479832753e+00
2.910423452768729824e+00,3.432986536107711206e+00
1.888189738625362990e+00,1.877853881278538806e+00
1.405274888558692314e+00,1.112286411716842949e+00
9.620217018846373147e-01,7.791463414634146600e-01
7.963585434173668931e-01,5.694247996228194442e-01
6.539372409709887091e-01,4.396572531981655652e-01
5.607388854101440501e-01,3.673066064370412165e-01
5.081100141043723983e-01,2.894900497512437609e-01
4.267202859696157535e-01,2.484506015311702398e-01
4.025423728813559143e-01,2.230588235294117538e-01
3.868808567603748139e-01,1.764534883720930147e-01
3.159861989649223601e-01,1.179886335557202848e-01
1.704545454545454419e-01,3.254437869822485174e-02
