# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
1.430237492764610652e+00,1.569511094397815221e+00
1.068539994565920415e+00,1.072667375366211706e+00
1.025349346052822685e+00,1.022797809613013476e+00
1.014670260392588563e+00,1.011507776529546598e+00
1.009180803601737120e+00,1.005935005311076047e+00
1.006163447951453849e+00,1.000885629109506292e+00
1.003054030899948046e+00,9.990678181281992254e-01
9.999047836479036944e-01,9.975546005944193606e-01
9.997485859113383055e-01,9.955278091517307804e-01
9.963006793829011221e-01,9.948514234244024701e-01
9.945597122112511679e-01,9.946042807888032522e-01
9.924506522367674277e-01,9.918293214801116031e-01
9.929025824988234605e-01,9.918145798253006351e-01
9.911342539905068083e-01,9.901156917110408573e-01
9.874396513747233373e-01,9.893468447252387055e-01
