# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
1.338299988461774781e+00,1.479074058360479338e+00
1.044576000057037657e+00,1.062147592276638575e+00
1.025844155621158604e+00,1.021676138648520249e+00
1.011133481285507507e+00,1.009214025716985486e+00
1.009447475449519738e+00,1.004199721654695399e+00
1.004368943599614372e+00,1.001796148876306303e+00
1.001277227291361482e+00,9.991304883269631620e-01
1.001059639802347467e+00,9.982738314722732209e-01
9.985226120054451204e-01,9.970669616874908714e-01
9.974839104823042257e-01,9.956481978995403992e-01
9.975530763375834997e-01,9.953551513362770553e-01
9.945754106720454679e-01,9.943000029120555583e-01
9.939844310661614113e-01,9.931389160854362519e-01
9.917341682134689362e-01,9.919577534682396669e-01
9.902638061472016640e-01,9.895853510069969605e-01
