# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
9.142857142857142572e-01,1.185567010309278357e+00
9.881889763779527769e-01,1.001416430594900930e+00
1.011532125205930832e+00,9.745024875621890459e-01
9.545903257650543150e-01,1.001560671088568055e+00
1.005315110098709219e+00,9.889349930843707170e-01
9.564459930313589098e-01,9.860661856183130514e-01
9.982954545454545414e-01,1.007949891592387459e+00
1.030965391621129434e+00,9.906172839506173222e-01
9.866327180140038733e-01,1.000000000000000000e+00
9.891696750902526647e-01,9.993652808632180751e-01
9.725776965265082730e-01,9.929551353355580146e-01
9.827586206896551380e-01,9.817570811329813241e-01
9.849931787175989495e-01,1.029850746268656803e+00
9.982415005861664525e-01,9.987440341622707551e-01
9.803278688524590390e-01,1.030627871362940207e+00
