# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.001416430594900930e+00
1.000000000000000000e+00,9.993781094527363074e-01
1.000987166831194486e+00,9.992196644557159724e-01
1.000000000000000000e+00,1.001106500691562928e+00
1.000000000000000000e+00,1.000995272455834861e+00
1.000568181818181746e+00,1.000240905805829916e+00
1.000000000000000000e+00,1.000493827160493732e+00
1.000636537237428403e+00,1.000866300895177696e+00
1.000722021660649830e+00,9.993652808632180751e-01
1.000914076782449813e+00,1.000741564701520314e+00
1.002155172413793149e+00,1.001440230436869916e+00
1.000000000000000000e+00,1.000597014925373118e+00
9.994138335287221508e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
