# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
1.500000000000000000e+00,6.249999999999995559e-01
1.163265306122449161e+00,1.137931034482760229e+00
1.071428571428571175e+00,9.843749999999998890e-01
8.917748917748908877e-01,9.881355932203389481e-01
9.629629629629627985e-01,1.101935483870968069e+00
9.597701149425285072e-01,9.811912225705329282e-01
1.000000000000000000e+00,9.947423764458465101e-01
1.000000000000000000e+00,9.911894273127752619e-01
9.865951742627344645e-01,9.600938967136148916e-01
1.003558718861210064e+00,1.037410071942446166e+00
1.100000000000000755e+00,9.735973597359734999e-01
1.009049773755656076e+00,1.020242914979757165e+00
1.043750000000000400e+00,9.664948453608246393e-01
9.141274238227142801e-01,1.069767441860465240e+00
9.583333333333332593e-01,1.062068965517241947e+00
