# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
1.166666666666666741e+00,1.000000000000000000e+00
1.040816326530612290e+00,1.013793103448275890e+00
9.920634920634920917e-01,1.009375000000000133e+00
9.913419913419913021e-01,1.010169491525423791e+00
1.009259259259259300e+00,9.974193548387096930e-01
9.942528735632183423e-01,9.947753396029257456e-01
1.000000000000000000e+00,1.004206098843322792e+00
9.972602739726027510e-01,9.944933920704845942e-01
9.946380697050938302e-01,1.009389671361502261e+00
9.928825622775799831e-01,1.004316546762589857e+00
1.036000000000000254e+00,9.983498349834983854e-01
1.009049773755656076e+00,9.777327935222671629e-01
9.874999999999998224e-01,1.005154639175257714e+00
1.002770083102493048e+00,1.012239902080783294e+00
9.861111111111110494e-01,1.006896551724137945e+00
