# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,
# 0.0,1.0,3.0,
1.000000000000000000e+00,9.896907216494845727e-01
1.000000000000000000e+00,1.005665722379603499e+00
1.003294892915980174e+00,1.000621890547263693e+00
1.003948667324777944e+00,1.001560671088568055e+00
9.984813971146545564e-01,1.002213001383125857e+00
9.988385598141695798e-01,1.002736999253545758e+00
1.001136363636363713e+00,1.003372681281618828e+00
1.003035822707953884e+00,1.005185185185185182e+00
1.003819223424570417e+00,1.005486572336124818e+00
1.004332129963898979e+00,1.003173595683909847e+00
1.004570383912248621e+00,1.003707823507601127e+00
1.005387931034482651e+00,1.004320691310609748e+00
1.005457025920873049e+00,1.005970149253731405e+00
1.004103165298944944e+00,1.003767897513187624e+00
1.006557377049180246e+00,9.954058192955589357e-01
